Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Macrophage Differentiation (GO:0045649)	2/14	1.141531e-04	2.158619e-02	0	0	1.584524e+02	1.438426e+03	LIF;INHBA
GO_Biological_Process_2023	Protein Localization To Cell-Cell Junction (GO:0150105)	2/15	1.316231e-04	2.158619e-02	0	0	1.462564e+02	1.306884e+03	DSP;LSR
GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	2/27	4.363227e-04	4.770461e-02	0	0	7.600762e+01	5.880807e+02	DSP;CSTA
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	3/149	6.432862e-04	5.274947e-02	0	0	2.037432e+01	1.497292e+02	COMP;MYOC;OGN
GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	2/42	1.059136e-03	6.352657e-02	0	0	4.746905e+01	3.251773e+02	DSP;CSTA
GO_Biological_Process_2023	Bone Development (GO:0060348)	2/44	1.162071e-03	6.352657e-02	0	0	4.520408e+01	3.054689e+02	MYOC;OGN
GO_Biological_Process_2023	Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	2/49	1.439568e-03	6.745406e-02	0	0	4.038501e+01	2.642557e+02	CRTAM;SELE
GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	2/54	1.745614e-03	7.157016e-02	0	0	3.649267e+01	2.317522e+02	DSP;CSTA
GO_Biological_Process_2023	Skin Development (GO:0043588)	2/68	2.751807e-03	8.421248e-02	0	0	2.873160e+01	1.693871e+02	DSP;CSTA
GO_Biological_Process_2023	Regulation Of Type II Interferon Production (GO:0032649)	2/87	4.459606e-03	8.421248e-02	0	0	2.228796e+01	1.206379e+02	CRTAM;INHBA
GO_Biological_Process_2023	Establishment Of Lymphocyte Polarity (GO:0001767)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	CRTAM
GO_Biological_Process_2023	Striated Muscle Hypertrophy (GO:0014897)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	MYOC
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002860)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	CRTAM
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell (GO:0002857)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	CRTAM
GO_Biological_Process_2023	Ventricular Compact Myocardium Morphogenesis (GO:0003223)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	DSP
GO_Biological_Process_2023	Regulation Of Apoptotic DNA Fragmentation (GO:1902510)	1/5	5.737289e-03	8.421248e-02	0	0	2.269659e+02	1.171319e+03	CIDEA
